Floorplan,Device,Training Data,Training Epsilon,Attack,Inference Epsilon,Mean Error,Median Error,Min Error,Max Error
libstudy,S7,ORIGINAL,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,S7,ORIGINAL,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,S7,ORIGINAL,0.0,ORIGINAL,0.0,4.891666666666667,1.0,0,46
libstudy,BLU,SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,BLU,SAE,0.0,ORIGINAL,0.0,11.0,3.0,0,59
libstudy,HTC,SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,HTC,SAE,0.0,ORIGINAL,0.0,4.0,2.0,0,41
libstudy,LG,SAE,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
libstudy,LG,SAE,0.0,ORIGINAL,0.0,9.583333333333334,3.0,0,52
